"Bosnia and Herzegovina","","99","","","58","","","99","","","58","","","99","","","53","","","99","","","48","","95","99","92","55","43","","95","99","92","51","38","","95","99","92","48","33","","95","99","92","44","28","","95","99","92","41","24","","95","99","92","38","19","","95","99","92","35","15","","95","99","92","32","12","","95","99","92","29","8","","95","99","92","27","5","","95","99","92","27","5","","95","99","92","26","5","","95","99","92","26","5","","95","99","92","26","5","","95","99","92","26","6","","95","99","92","26","6","","95","99","92","26","6","","95","99","93","26","6","","95","98","93","26","6",""
"Botswana","81","91","52","","","","80","91","52","","","","80","91","52","","","","80","91","52","","","","79","90","52","","","","77","89","51","","","","76","88","50","","","","75","87","49","","","","73","86","48","","","","72","85","47","","","","70","84","45","","","","69","82","44","","","","67","81","43","","","","65","80","42","","","","63","79","41","","","","62","77","40","","","","60","76","39","","","","59","75","38","","","","57","74","37","","","","56","72","36","","","","55","71","35","","","","53","70","34","","","","52","69","33","","",""
"Brazil","91","95","64","50","51","","91","95","64","50","51","","90","94","63","49","51","","89","94","62","48","50","","88","93","60","47","49","","88","92","59","46","48","","87","92","58","45","47","","86","91","56","44","46","","85","90","55","43","45","","84","90","54","42","44","","84","89","52","41","43","","83","88","51","40","42","","82","88","50","40","42","","81","87","48","39","42","","80","87","47","39","42","","79","86","46","39","41","","78","85","44","38","41","","78","85","43","38","41","","77","84","42","37","40","","76","83","40","37","40","","75","83","39","37","40","","74","82","38","36","39","","73","82","37","36","39",""
"Brunei Darussalam","99","","","","","","98","","","","","","97","","","","","","96","","","","","","95","","","","","","93","","","","","","92","","","","","","91","","","","","","90","","","","","","89","","","","","","87","","","","","","86","","","","","","85","","","","","","84","","","","","","82","","","","","","81","","","","","","80","","","","","","79","","","","","","78","","","","","","76","","","","","","75","","","","","","74","","","","","","73","","","","",""
"Bulgaria","86","87","84","73","77","61","86","87","84","72","76","61","86","87","84","71","75","60","86","87","84","70","74","60","86","87","84","69","73","59","86","87","84","68","72","58","86","87","84","67","71","57","86","87","84","66","70","56","86","87","84","65","68","54","86","87","84","64","67","53","86","87","84","63","66","52","86","87","84","62","65","51","86","87","84","61","65","50","86","87","84","60","64","49","86","87","84","59","63","49","86","87","84","58","62","50","86","87","84","58","61","50","86","87","84","57","60","50","86","87","84","57","59","50","86","87","84","56","59","51","86","87","84","56","58","51","86","87","84","55","57","51","86","87","84","55","56","52"
"Burkina Faso","25","42","17","10","12","9","24","42","16","9","12","8","23","42","15","9","12","8","23","42","15","9","12","8","22","42","14","9","12","7","22","43","13","8","12","7","21","43","13","8","13","7","21","44","12","8","13","6","20","44","11","8","13","6","19","44","11","7","13","5","19","45","10","7","13","5","18","45","9","7","13","5","18","45","9","7","13","4","17","46","8","6","13","4","16","46","7","6","13","4","16","46","6","6","14","3","15","46","6","5","14","3","14","47","5","5","14","3","13","47","4","5","14","2","12","47","4","4","14","2","11","48","3","4","14","1","11","48","2","3","14","1","10","48","2","3","14","1"
"Burundi","46","41","46","","","","46","41","46","","","","46","41","46","","","","46","41","46","","","","46","41","46","","","","46","42","46","","","","46","42","46","","","","46","42","46","","","","46","42","46","","","","46","42","46","","","","46","42","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","42","46","","","","45","41","46","","","","45","41","46","","",""
"Cabo Verde","83","86","77","","","","83","86","77","","","","81","85","74","","","","79","83","71","","","","77","82","68","","","","75","80","65","","","","72","78","62","","","","70","77","59","","","","68","75","56","","","","66","74","53","","","","64","72","50","","","","62","71","47","","","","60","69","45","","","","57","67","42","","","","55","66","40","","","","53","64","37","","","","51","62","34","","","","48","61","32","","","","46","59","29","","","","44","57","27","","","","42","56","24","","","","39","54","21","","","","37","53","19","","",""
"Cambodia","77","93","71","37","45","34","74","92","68","35","44","32","70","90","64","34","43","31","67","88","60","32","42","29","64","86","57","31","41","27","60","85","53","29","41","25","57","83","50","27","40","24","54","81","46","26","39","22","51","79","43","25","38","21","48","77","39","23","38","20","44","76","36","22","37","18","41","74","33","21","36","17","38","72","29","19","36","15","35","70","26","18","35","14","32","68","23","17","34","13","29","67","20","16","33","11","26","65","16","14","33","10","23","63","13","13","32","9","20","62","10","12","31","7","17","60","7","11","31","6","14","58","4","8","30","3","11","56","1","6","29","1","10","55","0","","27",""
"Cameroon","43","58","22","","","","43","58","22","","","","43","58","22","","","","42","58","22","","","","42","58","22","","","","42","57","22","","","","42","57","22","","","","41","57","23","","","","41","57","23","","","","41","57","23","","","","41","57","23","","","","40","56","23","","","","40","56","23","","","","40","56","23","","","","40","56","23","","","","40","56","24","","","","39","55","24","","","","39","55","24","","","","39","55","24","","","","39","55","24","","","","38","55","24","","","","38","55","24","","","","38","55","25","","",""
